INFO 2023-09-22 15:15:16,544 autoreload trigger_reload 21689 8461475328 /Users/hikmatillo/PycharmProjects/expo_bot/views.py changed, reloading.
WARNING 2023-09-22 15:49:58,827 basehttp log_message 254011 140159387420224 "GET /staticvendor/select2/css/select2.min.css HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:58,827 basehttp log_message 254011 140159387420224 "GET /staticvendor/select2/css/select2.min.css HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:58,864 basehttp log_message 254011 140159370634816 "GET /staticjazzmin/css/main.css HTTP/1.0" 404 2294
WARNING 2023-09-22 15:49:58,864 basehttp log_message 254011 140159370634816 "GET /staticjazzmin/css/main.css HTTP/1.0" 404 2294
WARNING 2023-09-22 15:49:58,866 basehttp log_message 254011 140159395812928 "GET /staticvendor/fontawesome-free/css/all.min.css HTTP/1.0" 404 2351
WARNING 2023-09-22 15:49:58,866 basehttp log_message 254011 140159395812928 "GET /staticvendor/fontawesome-free/css/all.min.css HTTP/1.0" 404 2351
INFO 2023-09-22 15:49:58,875 basehttp log_message 254011 140159379027520 "GET /admin/jsi18n/ HTTP/1.0" 200 16066
INFO 2023-09-22 15:49:58,875 basehttp log_message 254011 140159379027520 "GET /admin/jsi18n/ HTTP/1.0" 200 16066
WARNING 2023-09-22 15:49:58,877 basehttp log_message 254011 140159783056960 "GET /staticvendor/adminlte/css/adminlte.min.css HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:58,877 basehttp log_message 254011 140159783056960 "GET /staticvendor/adminlte/css/adminlte.min.css HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:58,902 log log_response 254011 140159783056960 Not Found: /staticadmin/js/jquery.init.js
WARNING 2023-09-22 15:49:58,911 log log_response 254011 140159379027520 Not Found: /staticadmin/js/core.js
WARNING 2023-09-22 15:49:58,998 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/jquery.init.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:49:58,998 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/jquery.init.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:49:59,009 log log_response 254011 140159395812928 Not Found: /staticadmin/js/actions.js
WARNING 2023-09-22 15:49:59,057 log log_response 254011 140159370634816 Not Found: /staticadmin/js/admin/RelatedObjectLookups.js
WARNING 2023-09-22 15:49:59,106 log log_response 254011 140159387420224 Not Found: /staticadmin/js/urlify.js
WARNING 2023-09-22 15:49:59,130 basehttp log_message 254011 140159379027520 "GET /staticadmin/js/core.js HTTP/1.0" 404 2282
WARNING 2023-09-22 15:49:59,130 basehttp log_message 254011 140159379027520 "GET /staticadmin/js/core.js HTTP/1.0" 404 2282
WARNING 2023-09-22 15:49:59,168 log log_response 254011 140159783056960 Not Found: /staticadmin/js/vendor/xregexp/xregexp.js
WARNING 2023-09-22 15:49:59,181 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/admin/RelatedObjectLookups.js HTTP/1.0" 404 2348
WARNING 2023-09-22 15:49:59,187 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/actions.js HTTP/1.0" 404 2291
WARNING 2023-09-22 15:49:59,181 basehttp log_message 254011 140159370634816 "GET /staticadmin/js/admin/RelatedObjectLookups.js HTTP/1.0" 404 2348
WARNING 2023-09-22 15:49:59,214 log log_response 254011 140159362242112 Not Found: /staticadmin/js/prepopulate.js
WARNING 2023-09-22 15:49:59,187 basehttp log_message 254011 140159395812928 "GET /staticadmin/js/actions.js HTTP/1.0" 404 2291
WARNING 2023-09-22 15:49:59,225 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/urlify.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:49:59,225 basehttp log_message 254011 140159387420224 "GET /staticadmin/js/urlify.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:49:59,321 log log_response 254011 140159395812928 Not Found: /staticvendor/bootstrap/js/bootstrap.min.js
WARNING 2023-09-22 15:49:59,333 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/prepopulate.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:49:59,335 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/vendor/xregexp/xregexp.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:59,333 basehttp log_message 254011 140159362242112 "GET /staticadmin/js/prepopulate.js HTTP/1.0" 404 2303
WARNING 2023-09-22 15:49:59,335 basehttp log_message 254011 140159783056960 "GET /staticadmin/js/vendor/xregexp/xregexp.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:59,372 log log_response 254011 140159379027520 Not Found: /staticvendor/adminlte/img/AdminLTELogo.png
WARNING 2023-09-22 15:49:59,476 basehttp log_message 254011 140159395812928 "GET /staticvendor/bootstrap/js/bootstrap.min.js HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:59,476 basehttp log_message 254011 140159395812928 "GET /staticvendor/bootstrap/js/bootstrap.min.js HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:59,496 log log_response 254011 140159783056960 Not Found: /staticvendor/adminlte/js/adminlte.min.js
WARNING 2023-09-22 15:49:59,572 log log_response 254011 140159370634816 Not Found: /staticvendor/select2/js/select2.min.js
WARNING 2023-09-22 15:49:59,576 basehttp log_message 254011 140159379027520 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:59,576 basehttp log_message 254011 140159379027520 "GET /staticvendor/adminlte/img/AdminLTELogo.png HTTP/1.0" 404 2342
WARNING 2023-09-22 15:49:59,605 log log_response 254011 140159387420224 Not Found: /staticjazzmin/js/change_list.js
WARNING 2023-09-22 15:49:59,613 log log_response 254011 140159362242112 Not Found: /staticjazzmin/js/main.js
WARNING 2023-09-22 15:49:59,631 log log_response 254011 140159395812928 Not Found: /staticadmin/js/vendor/jquery/jquery.js
WARNING 2023-09-22 15:49:59,675 basehttp log_message 254011 140159783056960 "GET /staticvendor/adminlte/js/adminlte.min.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:59,675 basehttp log_message 254011 140159783056960 "GET /staticvendor/adminlte/js/adminlte.min.js HTTP/1.0" 404 2336
WARNING 2023-09-22 15:49:59,714 basehttp log_message 254011 140159387420224 "GET /staticjazzmin/js/change_list.js HTTP/1.0" 404 2309
WARNING 2023-09-22 15:49:59,714 basehttp log_message 254011 140159387420224 "GET /staticjazzmin/js/change_list.js HTTP/1.0" 404 2309
WARNING 2023-09-22 15:49:59,717 basehttp log_message 254011 140159362242112 "GET /staticjazzmin/js/main.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:49:59,717 basehttp log_message 254011 140159362242112 "GET /staticjazzmin/js/main.js HTTP/1.0" 404 2288
WARNING 2023-09-22 15:49:59,719 basehttp log_message 254011 140159370634816 "GET /staticvendor/select2/js/select2.min.js HTTP/1.0" 404 2330
